file_id,file_type,file_size_mb,days_since_creation,days_since_last_accessed,access_count_30d
SCAN_1_Pictures/1377211.jpg,.jpg,2.065,75,75,0
SCAN_2_Pictures/desktop.ini,.ini,0.0,108,108,0
SCAN_3_Pictures/macos-sequoia-forest-3840x2160-24082.jpg,.jpg,5.328,79,79,0
SCAN_4_Pictures/R6 .png,.png,1.588,52,52,0
SCAN_5_Pictures/r6_01.png,.png,0.974,52,52,0
SCAN_6_Pictures/racing-bulls-vcarb-8192x4608-26127.jpeg,.jpeg,1.644,79,79,0
SCAN_7_Pictures/Screenshots 1/1234@info.png,.png,0.02,947,947,0
SCAN_8_Pictures/Screenshots 1/AI Confidence Scoring.png,.png,0.044,0,0,0
SCAN_9_Pictures/Screenshots 1/AI Model Selectionl.png,.png,0.056,0,0,0
SCAN_10_Pictures/Screenshots 1/Dashboard .png,.png,0.107,0,0,0
SCAN_11_Pictures/Screenshots 1/desktop.ini,.ini,0.0,108,108,0
SCAN_12_Pictures/Screenshots 1/Model Comparison in Detail.png,.png,0.022,0,0,0
SCAN_13_Pictures/Screenshots 1/Screenshot 2023-09-07 202112.png,.png,0.18,1071,1071,0
SCAN_14_Pictures/Screenshots 1/Screenshot 2023-09-10 212859.png,.png,0.108,1068,1068,0
SCAN_15_Pictures/Screenshots 1/Screenshot 2023-09-12 124640.png,.png,0.027,1066,1066,0
SCAN_16_Pictures/Screenshots 1/Screenshot 2023-09-12 124801.png,.png,0.035,1066,1066,0
SCAN_17_Pictures/Screenshots 1/Screenshot 2023-09-12 125539.png,.png,0.047,1066,1066,0
SCAN_18_Pictures/Screenshots 1/Screenshot 2023-09-12 131538.png,.png,0.037,1066,1066,0
SCAN_19_Pictures/Screenshots 1/Screenshot 2023-09-14 012734.png,.png,0.076,1065,1065,0
SCAN_20_Pictures/Screenshots 1/Screenshot 2023-09-27 210939.png,.png,0.155,1051,1051,0
SCAN_21_Pictures/Screenshots 1/Screenshot 2023-09-27 220059.png,.png,0.067,1051,1051,0
SCAN_22_Pictures/Screenshots 1/Screenshot 2023-09-27 220120.png,.png,0.035,1051,1051,0
SCAN_23_Pictures/Screenshots 1/Screenshot 2023-09-27 220141.png,.png,0.061,1051,1051,0
SCAN_24_Pictures/Screenshots 1/Screenshot 2023-09-28 144620.png,.png,0.032,1050,1050,0
SCAN_25_Pictures/Screenshots 1/Screenshot 2023-10-13 194110.png,.png,0.089,1035,1035,0
SCAN_26_Pictures/Screenshots 1/Screenshot 2023-10-13 195019.png,.png,0.071,1035,1035,0
SCAN_27_Pictures/Screenshots 1/Screenshot 2023-10-13 203214.png,.png,0.04,1035,1035,0
SCAN_28_Pictures/Screenshots 1/Screenshot 2023-10-15 204644.png,.png,0.107,1033,1033,0
SCAN_29_Pictures/Screenshots 1/Screenshot 2023-10-28 203034.png,.png,0.104,1020,1020,0
SCAN_30_Pictures/Screenshots 1/Screenshot 2023-12-26 154253.png,.png,0.484,961,961,0
SCAN_31_Pictures/Screenshots 1/Screenshot 2024-01-02 174326.png,.png,0.228,954,954,0
SCAN_32_Pictures/Screenshots 1/Screenshot 2024-01-02 182218.png,.png,1.796,954,954,0
SCAN_33_Pictures/Screenshots 1/Screenshot 2024-01-04 192737.png,.png,0.034,952,952,0
SCAN_34_Pictures/Screenshots 1/Screenshot 2024-01-05 134243.png,.png,0.052,951,951,0
SCAN_35_Pictures/Screenshots 1/Screenshot 2024-01-05 135237.png,.png,0.033,951,951,0
SCAN_36_Pictures/Screenshots 1/Screenshot 2024-01-06 021151.png,.png,0.088,951,951,0
SCAN_37_Pictures/Screenshots 1/Screenshot 2024-01-09 222746.png,.png,0.02,947,947,0
SCAN_38_Pictures/Screenshots 1/Screenshot 2024-01-09 222945.png,.png,0.07,947,947,0
SCAN_39_Pictures/Screenshots 1/Screenshot 2024-01-10 211612.png,.png,0.102,946,946,0
SCAN_40_Pictures/Screenshots 1/Screenshot 2024-01-12 132125.png,.png,0.02,944,944,0
SCAN_41_Pictures/Screenshots 1/Screenshot 2024-01-12 134017.png,.png,0.153,944,944,0
SCAN_42_Pictures/Screenshots 1/Screenshot 2024-01-12 134201.png,.png,0.028,944,944,0
SCAN_43_Pictures/Screenshots 1/Screenshot 2024-01-12 134421.png,.png,0.03,944,944,0
SCAN_44_Pictures/Screenshots 1/Screenshot 2024-01-12 135347.png,.png,0.133,944,944,0
SCAN_45_Pictures/Screenshots 1/Screenshot 2024-01-12 143504.png,.png,0.082,944,944,0
SCAN_46_Pictures/Screenshots 1/Screenshot 2024-01-12 143542.png,.png,0.033,944,944,0
SCAN_47_Pictures/Screenshots 1/Screenshot 2024-01-16 103744.png,.png,0.141,940,940,0
SCAN_48_Pictures/Screenshots 1/Screenshot 2024-01-17 144844.png,.png,0.042,939,939,0
SCAN_49_Pictures/Screenshots 1/Screenshot 2024-01-17 145602.png,.png,0.052,939,939,0
SCAN_50_Pictures/Screenshots 1/Screenshot 2024-01-17 145627.png,.png,0.044,939,939,0
SCAN_51_Pictures/Screenshots 1/Screenshot 2024-01-17 165038.png,.png,0.099,939,939,0
SCAN_52_Pictures/Screenshots 1/Screenshot 2024-01-17 165118.png,.png,0.116,939,939,0
SCAN_53_Pictures/Screenshots 1/Screenshot 2024-01-17 165823.png,.png,0.017,939,939,0
SCAN_54_Pictures/Screenshots 1/Screenshot 2024-01-17 165846.png,.png,0.012,939,939,0
SCAN_55_Pictures/Screenshots 1/Screenshot 2024-01-17 170326.png,.png,0.013,939,939,0
SCAN_56_Pictures/Screenshots 1/Screenshot 2024-01-17 170347.png,.png,0.007,939,939,0
SCAN_57_Pictures/Screenshots 1/Screenshot 2024-01-18 133611.png,.png,0.024,938,938,0
SCAN_58_Pictures/Screenshots 1/Screenshot 2024-01-18 133632.png,.png,0.023,938,938,0
SCAN_59_Pictures/Screenshots 1/Screenshot 2024-01-18 171136.png,.png,0.065,938,938,0
SCAN_60_Pictures/Screenshots 1/Screenshot 2024-01-18 171155.png,.png,0.352,938,938,0
SCAN_61_Pictures/Screenshots 1/Screenshot 2024-01-18 171225.png,.png,0.328,938,938,0
SCAN_62_Pictures/Screenshots 1/Screenshot 2024-01-18 172216.png,.png,0.348,938,938,0
SCAN_63_Pictures/Screenshots 1/Screenshot 2024-01-19 161737.png,.png,0.058,937,937,0
SCAN_64_Pictures/Screenshots 1/Screenshot 2024-01-19 162153.png,.png,0.06,937,937,0
SCAN_65_Pictures/Screenshots 1/Screenshot 2024-01-20 155958.png,.png,0.99,936,936,0
SCAN_66_Pictures/Screenshots 1/Screenshot 2024-01-20 161110.png,.png,1.156,936,936,0
SCAN_67_Pictures/Screenshots 1/Screenshot 2024-01-20 164414.png,.png,1.129,936,936,0
SCAN_68_Pictures/Screenshots 1/Screenshot 2024-01-29 145302.png,.png,0.199,927,927,0
SCAN_69_Pictures/Screenshots 1/Screenshot 2024-01-29 145615.png,.png,0.044,927,927,0
SCAN_70_Pictures/Screenshots 1/Screenshot 2024-01-29 150008.png,.png,0.029,927,927,0
SCAN_71_Pictures/Screenshots 1/Screenshot 2024-01-29 150104.png,.png,0.105,927,927,0
SCAN_72_Pictures/Screenshots 1/Screenshot 2024-01-29 150132.png,.png,0.042,927,927,0
SCAN_73_Pictures/Screenshots 1/Screenshot 2024-01-29 150200.png,.png,0.063,927,927,0
SCAN_74_Pictures/Screenshots 1/Screenshot 2024-01-29 214136.png,.png,0.104,927,927,0
SCAN_75_Pictures/Screenshots 1/Screenshot 2024-01-29 221919.png,.png,0.059,927,927,0
SCAN_76_Pictures/Screenshots 1/Screenshot 2024-01-29 221941.png,.png,0.03,927,927,0
SCAN_77_Pictures/Screenshots 1/Screenshot 2024-01-29 222001.png,.png,0.035,927,927,0
SCAN_78_Pictures/Screenshots 1/Screenshot 2024-02-07 011328.png,.png,0.093,919,919,0
SCAN_79_Pictures/Screenshots 1/Screenshot 2024-02-07 011401.png,.png,0.113,919,919,0
SCAN_80_Pictures/Screenshots 1/Screenshot 2024-02-07 091132.png,.png,0.235,919,919,0
SCAN_81_Pictures/Screenshots 1/Screenshot 2024-02-07 091154.png,.png,0.271,919,919,0
SCAN_82_Pictures/Screenshots 1/Screenshot 2024-02-07 091248.png,.png,0.036,919,919,0
SCAN_83_Pictures/Screenshots 1/Screenshot 2024-02-07 091313.png,.png,0.047,919,919,0
SCAN_84_Pictures/Screenshots 1/Screenshot 2024-02-07 101526.png,.png,0.304,919,919,0
SCAN_85_Pictures/Screenshots 1/Screenshot 2024-02-07 101557.png,.png,0.138,919,919,0
SCAN_86_Pictures/Screenshots 1/Screenshot 2024-02-08 182001.png,.png,0.041,917,917,0
SCAN_87_Pictures/Screenshots 1/Screenshot 2024-02-08 182030.png,.png,0.05,917,917,0
SCAN_88_Pictures/Screenshots 1/Screenshot 2024-02-13 184233.png,.png,0.238,912,912,0
SCAN_89_Pictures/Screenshots 1/Screenshot 2024-02-13 191924.png,.png,0.48,912,912,0
